I0316 18:56:59.029778       1 flags.go:52] FLAG: --test.memprofile=""
I0316 18:56:59.029781       1 flags.go:52] FLAG: --test.memprofilerate="0"
I0316 18:56:59.029783       1 flags.go:52] FLAG: --test.mutexprofile=""
I0316 18:56:59.029785       1 flags.go:52] FLAG: --test.mutexprofilefraction="1"
I0316 18:56:59.029788       1 flags.go:52] FLAG: --test.outputdir=""
I0316 18:56:59.029791       1 flags.go:52] FLAG: --test.parallel="16"
I0316 18:56:59.029794       1 flags.go:52] FLAG: --test.run=""
I0316 18:56:59.029796       1 flags.go:52] FLAG: --test.short="false"
I0316 18:56:59.029799       1 flags.go:52] FLAG: --test.testlogfile=""
I0316 18:56:59.029801       1 flags.go:52] FLAG: --test.timeout="0s"
I0316 18:56:59.029803       1 flags.go:52] FLAG: --test.trace=""
I0316 18:56:59.029806       1 flags.go:52] FLAG: --test.v="false"
I0316 18:56:59.029809       1 flags.go:52] FLAG: --unremovable-node-recheck-timeout="5m0s"
I0316 18:56:59.029812       1 flags.go:52] FLAG: --v="3"
I0316 18:56:59.029815       1 flags.go:52] FLAG: --vmodule=""
I0316 18:56:59.029818       1 flags.go:52] FLAG: --write-status-configmap="true"
I0316 18:56:59.029827       1 main.go:354] Cluster Autoscaler 1.15.4
I0316 18:56:59.130204       1 leaderelection.go:235] attempting to acquire leader lease  kube-system/cluster-autoscaler...
I0316 18:56:59.227541       1 leaderelection.go:245] successfully acquired lease kube-system/cluster-autoscaler
I0316 18:56:59.229238       1 reflector.go:122] Starting reflector *v1beta1.PodDisruptionBudget (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:301
I0316 18:56:59.229265       1 reflector.go:160] Listing and watching *v1beta1.PodDisruptionBudget from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:301
I0316 18:56:59.229251       1 reflector.go:122] Starting reflector *v1.Job (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:330
I0316 18:56:59.229279       1 reflector.go:160] Listing and watching *v1.Job from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:330
I0316 18:56:59.229278       1 reflector.go:122] Starting reflector *v1.StatefulSet (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:348
I0316 18:56:59.229309       1 reflector.go:160] Listing and watching *v1.StatefulSet from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:348
I0316 18:56:59.229301       1 reflector.go:122] Starting reflector *v1.DaemonSet (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:312
I0316 18:56:59.229343       1 reflector.go:160] Listing and watching *v1.DaemonSet from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:312
I0316 18:56:59.229318       1 reflector.go:122] Starting reflector *v1.ReplicationController (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:321
I0316 18:56:59.229368       1 reflector.go:160] Listing and watching *v1.ReplicationController from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:321
I0316 18:56:59.229325       1 reflector.go:122] Starting reflector *v1.ReplicaSet (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:339
I0316 18:56:59.229385       1 reflector.go:122] Starting reflector *v1.Node (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:246
I0316 18:56:59.229399       1 reflector.go:160] Listing and watching *v1.Node from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:246
I0316 18:56:59.229415       1 reflector.go:160] Listing and watching *v1.ReplicaSet from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:339
I0316 18:56:59.229395       1 reflector.go:122] Starting reflector *v1.Pod (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:212
I0316 18:56:59.229418       1 reflector.go:122] Starting reflector *v1.Pod (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:188
I0316 18:56:59.229447       1 reflector.go:160] Listing and watching *v1.Pod from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:212
I0316 18:56:59.229396       1 reflector.go:122] Starting reflector *v1.Node (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:246
I0316 18:56:59.230400       1 reflector.go:160] Listing and watching *v1.Node from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:246
I0316 18:56:59.229715       1 reflector.go:160] Listing and watching *v1.Pod from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:188
I0316 18:56:59.725107       1 defaults.go:87] TaintNodesByCondition is enabled, PodToleratesNodeTaints predicate is mandatory
I0316 18:56:59.725312       1 factory.go:345] Creating scheduler from algorithm provider 'DefaultProvider'
I0316 18:56:59.725334       1 factory.go:433] Creating scheduler with fit predicates 'map[CheckNodeUnschedulable:{} CheckVolumeBinding:{} GeneralPredicates:{} MatchInterPodAffinity:{} MaxAzureDiskVolumeCount:{} MaxCSIVolumeCountPred:{} MaxEBSVolumeCount:{} MaxGCEPDVolumeCount:{} NoDiskConflict:{} NoVolumeZoneConflict:{} PodToleratesNodeTaints:{}]' and priority functions 'map[BalancedResourceAllocation:{} ImageLocalityPriority:{} InterPodAffinityPriority:{} LeastRequestedPriority:{} NodeAffinityPriority:{} NodePreferAvoidPodsPriority:{} SelectorSpreadPriority:{} TaintTolerationPriority:{}]'
I0316 18:56:59.726144       1 predicates.go:189] Using predicate PodFitsResources
I0316 18:56:59.726158       1 predicates.go:189] Using predicate PodToleratesNodeTaints
I0316 18:56:59.726162       1 predicates.go:189] Using predicate GeneralPredicates
I0316 18:56:59.726165       1 predicates.go:189] Using predicate ready
I0316 18:56:59.726168       1 predicates.go:189] Using predicate CheckVolumeBinding
I0316 18:56:59.726171       1 predicates.go:189] Using predicate MatchInterPodAffinity
I0316 18:56:59.726183       1 predicates.go:189] Using predicate MaxAzureDiskVolumeCount
I0316 18:56:59.726186       1 predicates.go:189] Using predicate MaxEBSVolumeCount
I0316 18:56:59.726189       1 predicates.go:189] Using predicate MaxCSIVolumeCountPred
I0316 18:56:59.726192       1 predicates.go:189] Using predicate MaxGCEPDVolumeCount
I0316 18:56:59.726195       1 predicates.go:189] Using predicate CheckNodeUnschedulable
I0316 18:56:59.726199       1 predicates.go:189] Using predicate NoDiskConflict
I0316 18:56:59.726202       1 predicates.go:189] Using predicate NoVolumeZoneConflict
I0316 18:56:59.925219       1 cloud_provider_builder.go:29] Building azure cloud provider.
I0316 18:56:59.925264       1 azure_cloud_provider.go:165] Creating Azure Manager with default configuration.
I0316 18:56:59.925280       1 azure_manager.go:163] Starting azure manager with subscription ID "471d33fd-a776-405b-947c-467c291dc741"
